plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,source_type,category
89672f,ETD9SM,United Arab Emirates,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,13.4175,46.5352,11887.2,False,259.33,119.21,0.33,12268.2,0,0
346499,IBE07KH,Spain,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-0.1363,42.9478,11285.22,False,255.42,207.6,0.0,11925.3,0,0
346491,FBY58B,Spain,2026-09-12 11:26:27+00:00,2026-09-12 11:26:27+00:00,-3.8446,42.2844,1478.28,False,60.19,247.38,0.0,1661.16,0,0
a5c292,N470RA,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-114.9458,36.0058,1036.32,False,54.41,139.99,1.3,975.36,0,0
0ac1af,,Colombia,,2026-09-12 11:26:18+00:00,,,,False,0.0,0.0,,,0,0
405385,SFU55,United Kingdom,2026-09-12 11:26:17+00:00,2026-09-12 11:26:18+00:00,-0.8226,50.7585,1120.14,False,25.73,281.53,0.0,1280.16,0,0
471a79,HAKAR,Hungary,2026-09-12 11:22:11+00:00,2026-09-12 11:22:11+00:00,15.1074,44.0068,1135.38,False,127.59,90.69,-12.68,2217.42,0,0
896713,ETD597,United Arab Emirates,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,49.5106,26.9832,8549.64,False,250.38,287.95,-0.33,9128.76,0,0
aae64b,VJA801,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-69.6838,42.6887,12496.8,False,252.95,65.1,0.0,12954.0,0,0
a8deda,UAL261,United States,2026-09-12 11:21:26+00:00,2026-09-12 11:24:46+00:00,-13.3669,40.9311,9448.8,False,243.24,273.39,0.0,10050.78,0,0
89670b,,United Arab Emirates,2026-09-12 11:26:24+00:00,2026-09-12 11:26:24+00:00,56.3535,23.2745,8846.82,False,223.58,306.58,-5.2,10447.02,0,0
a38d8f,AAL1474,United States,2026-09-12 11:26:28+00:00,2026-09-12 11:26:28+00:00,-80.4813,34.7513,4023.36,False,175.88,320.82,-3.25,4229.1,0,0
