plane_id,flight_id,origin_country,time_position,last_contact,longitude,latitude,flight_altitude_m,on_ground,velocity,true_track,vertical_rate,inside_saudi_boundary,registration,manufacturername,model,typecode,openap_typecode,aircraft_metadata_matched,weather_time,weather_location_id,weather_latitude,weather_longitude,weather_distance_km,pressure_level_hpa,flight_temperature_c,flight_wind_speed_kmh,flight_wind_direction_deg,headwind_component_ms,crosswind_component_ms,derived_airspeed_ms,fuel_flow_ready,estimated_mass_kg,fuel_flow_kg_s,co2_g_s,nox_g_s,co_g_s,hc_g_s,sox_g_s,soot_g_s
3b775b,CTM2006,France,2026-09-18 15:20:27+00:00,2026-09-18 15:20:31+00:00,50.1352,26.4874,1981.2,False,131.46,30.58,0.98,False,F-RBAT,,,A400,,True,2026-09-18 15:00:00+00:00,72,26.467485,50.055065,8.27767459558461,850,29.0,31.7,344.0,6.052420165453784,-6.395781326998579,137.66107553895938,False,,,,,,,,
706214,JZR427,Kuwait,2026-09-18 15:20:33+00:00,2026-09-18 15:20:35+00:00,55.7704,25.2531,11399.52,False,241.69,98.2,0.0,False,9K-CBD,,A320-251N,A20N,A20N,True,2026-09-18 15:00:00+00:00,73,25.342705,55.811687,10.793584454930503,250,-39.5,24.3,340.0,-3.189717662866113,-5.948798301438699,238.57445981521948,True,67150.0,0.4344658419955518,1372.9120607059438,3.900840953605585,3.114364585754263,0.023284915246909607,0.5213590103946621,0.013033975259866555
06a3b6,QTR8561,Qatar,2026-09-18 15:20:34+00:00,2026-09-18 15:20:34+00:00,49.317,26.4895,10728.96,False,256.26,88.73,0.0,True,,,,,,False,2026-09-18 15:00:00+00:00,74,26.537785,49.31643,5.369346576266415,250,-41.0,41.4,210.0,-5.969323941513605,9.829403424484747,250.48361162658017,False,,,,,,,,
06a2ed,QTR21Y,Qatar,2026-09-18 15:17:19+00:00,2026-09-18 15:20:34+00:00,51.7703,25.1535,1775.46,False,125.31,163.05,4.88,False,A7-BHJ,,,B789,B789,True,2026-09-18 15:00:00+00:00,75,25.202108,51.80346,6.352052985121652,850,26.8,14.7,296.0,-2.7822194853093083,2.988790030543517,122.5642275042065,True,215900.0,2.9947140562587102,9463.296417777525,98.62894740409239,1.767948892396833,0.0,3.593656867510452,0.0898414216877613
74482c,RJA614,Jordan,2026-09-18 15:20:32+00:00,2026-09-18 15:20:34+00:00,49.7854,27.1083,10751.82,False,240.3,110.69,-0.33,False,,,,,,False,2026-09-18 15:00:00+00:00,76,27.100174,49.755283,3.115011247584119,250,-41.0,43.7,217.0,-3.4090154203375373,11.65037498626937,237.1772961572051,False,,,,,,,,
4408fd,TAY400,Austria,2026-09-18 15:20:34+00:00,2026-09-18 15:20:34+00:00,55.1019,23.1981,10111.74,False,264.97,188.04,5.53,False,OE-IFB,Boeing Commercial Airplane Group,Boeing 747-4B5ERF,B744,B744,True,2026-09-18 15:00:00+00:00,77,23.233742,55.09434,4.03780699206056,300,-29.0,22.1,45.0,-4.905312694430681,-3.691051904265324,260.0908792086019,True,337280.0,5.2581522666546405,16615.761162628663,95.46868397289698,0.3735722185085646,0.46696527313570574,6.309782719985568,0.1577445679996392
39ceb1,TVF3459,France,2026-09-18 15:20:34+00:00,2026-09-18 15:20:35+00:00,34.89,31.9952,,True,1.03,19.69,,False,F-HTVR,,,B738,B738,True,2026-09-18 15:00:00+00:00,5,32.0,34.875,1.5118635050766782,,,,,,,,False,,,,,,,,
06a089,QTR1034,Qatar,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,51.8021,25.4027,3116.58,False,188.14,86.39,14.63,False,A7-AHC,Airbus,A320 232,A320,A320,True,2026-09-18 15:00:00+00:00,78,25.413004,51.776814,2.786202769656969,700,16.3,2.6,135.0,0.47751956501365556,0.5418302347606436,188.61829780501571,True,66300.0,1.6958388761466876,5358.850848623533,41.04815341825726,1.0031189741367974,0.20062379482735948,2.035006651376025,0.05087516628440063
06a098,QTR232,Qatar,2026-09-18 15:17:13+00:00,2026-09-18 15:20:33+00:00,51.7083,25.0537,868.68,False,96.87,300.65,-4.88,False,A7-AHQ,Airbus,A320 232SL,A320,A320,True,2026-09-18 15:00:00+00:00,79,25.06151,51.59483,11.462723641017385,850,27.2,15.9,297.0,4.407707693960736,-0.28117135174795527,101.2780979929639,True,66300.0,0.19970822726810575,631.0779981672142,0.8743278435223194,6.668359678004246,0.8089828198707346,0.2396498727217269,0.005991246818043172
a7488c,NCR869,United States,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,49.3706,23.8232,12672.06,False,250.04,108.47,0.0,True,,,,,,False,2026-09-18 15:00:00+00:00,80,23.796133,49.37632,3.0654500423597866,200,-52.5,19.0,162.0,3.137120646818325,4.244221049722918,253.2126928716894,False,,,,,,,,
778567,SYR504,Syrian Arab Republic,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,49.8873,26.8725,11056.62,False,235.56,288.2,0.0,False,YK-AKG,,,A320,A320,True,2026-09-18 15:00:00+00:00,44,26.81898,49.933556,7.515056301632592,250,-41.0,37.7,217.0,3.374837975052855,-9.91352141843382,239.1404079303172,True,66300.0,0.7591849011624264,2399.0242876732677,10.288429410620637,2.0526820652607345,0.16482301415727116,0.9110218813949117,0.022775547034872792
06a1c4,QTR1067,Qatar,2026-09-18 15:20:35+00:00,2026-09-18 15:20:35+00:00,53.5165,25.3181,6515.1,False,222.17,275.31,0.0,False,A7-LAC,Airbus,A320 214SL,A320,A320,True,2026-09-18 15:00:00+00:00,82,25.272406,53.51351,5.089824983402545,500,-4.2,25.3,95.0,-7.027674913379929,0.03802375149258914,215.1423284467345,True,66300.0,0.8675124567802469,2741.3393634255804,12.559812186975297,1.9595591965105437,0.1454683956522549,1.0410149481362962,0.026025373703407406
06a1bb,QTR120,Qatar,2026-09-18 15:16:09+00:00,2026-09-18 15:16:48+00:00,51.6421,25.2207,213.36,False,80.34,338.2,-3.9,False,A7-BEE,Boeing,Boeing 777 3DZER,B77W,B77W,True,2026-09-18 15:00:00+00:00,83,25.272406,51.567566,9.447142421870714,850,26.8,14.7,296.0,3.0249521015042298,-2.742859073068876,83.41006243122476,True,298775.0,1.866902637089179,5899.412333201806,26.93523884265719,14.557579414599914,1.2497772711401223,2.240283164507015,0.05600707911267537
801502,IGO1235,India,2026-09-18 15:20:31+00:00,2026-09-18 15:20:35+00:00,51.6053,26.4888,11071.86,False,234.88,290.38,0.0,False,VT-IMU,,,A21N,A21N,True,2026-09-18 15:00:00+00:00,84,26.537785,51.59868,5.48656703042705,250,-40.5,28.1,230.0,3.8578595177706276,-6.785544743939928,238.83427137787152,True,82450.0,0.5484270391842717,1733.0294438222986,5.758550590977013,2.476082095014591,0.030782833726680864,0.658112447021126,0.016452811175528152
801560,IGO097,India,2026-09-18 15:16:54+00:00,2026-09-18 15:19:18+00:00,50.0331,26.3279,2636.52,False,131.35,275.84,0.0,True,VT-IPM,,,A20N,A20N,True,2026-09-18 15:00:00+00:00,85,26.25659,49.989025,9.065335275871709,700,15.4,34.8,3.0,0.47895487526607167,9.654793973560663,132.1820274854976,True,67150.0,0.4260038685276575,1346.1722245473977,3.971393828620294,2.579799936496879,0.009885088618110811,0.511204642233189,0.012780116055829724
